,Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length
140,Running,2019-07-27 10:12:00,Cherry Hill Running,5.0,470.0,36,160,183,174,182,7:17,5:34,229,225,1.27
141,Running,2019-07-26 18:42:00,Cherry Hill Running,4.0,364.0,30,152,168,172,184,7:32,5:44,154,159,1.23
142,Running,2019-07-25 18:52:00,Cherry Hill Running,6.0,523.0,43,154,171,172,178,7:15,5:51,107,107,1.3
143,Running,2019-07-23 09:45:00,Cherry Hill Running,5.0,549.0,36,177,188,172,182,7:12,5:08,121,127,1.3
144,Running,2019-07-22 10:57:00,Cherry Hill Running,4.0,381.0,28,163,180,172,182,7:00,3:47,125,130,1.33
145,Running,2019-07-21 09:08:00,Cherry Hill Running,4.02,465.0,28,176,187,174,184,7:06,6:04,105,115,1.3
146,Running,2019-07-19 19:41:00,Cherry Hill Running,4.01,432.0,30,153,174,170,178,7:43,6:32,118,114,1.23
147,Running,2019-07-18 18:19:00,Cherry Hill Running,4.01,381.0,32,146,166,168,174,8:14,6:40,171,171,1.16
148,Running,2019-07-16 18:32:00,Cherry Hill Running,4.0,429.0,31,159,178,170,176,7:52,6:34,70,70,1.21
149,Running,2019-05-05 14:33:00,Allentown Running,2.0,128.0,13,128,142,182,188,6:51,4:21,63,61,1.29
150,Running,2019-05-05 09:57:00,Allentown Running,2.05,149.0,14,133,146,184,194,7:04,1:18,47,35,1.23
151,Running,2019-05-04 11:15:00,Allentown Running,5.0,339.0,39,129,160,176,184,7:49,6:10,170,176,1.17
152,Running,2019-05-03 19:15:00,Allentown Running,1.93,158.0,17,126,137,168,182,9:14,7:39,3,3,1.04
153,Running,2019-05-03 17:37:00,Allentown Running,2.23,150.0,15,132,142,184,196,6:52,5:37,125,120,1.27
154,Running,2019-05-03 10:22:00,Running,6.21,0.0,32,0,0,0,0,5:09,0,0,0,0.0
155,Running,2019-05-02 16:55:00,Baltimore Running,7.01,483.0,49,137,155,178,214,7:08,4:02,363,360,1.27
156,Running,2019-05-01 11:44:00,Baltimore Running,9.0,473.0,60,126,186,182,194,6:45,4:55,353,348,1.31
157,Running,2019-04-30 17:55:00,Baltimore Running,4.04,328.0,27,146,162,180,192,6:56,6:05,182,142,1.29
158,Running,2019-04-30 17:20:00,Baltimore Running,0.79,81.0,391,145,152,168,208,8:14,7:26,43,46,1.16
159,Running,2019-04-30 17:13:00,Baltimore Running,1.03,73.0,314,163,181,188,208,5:06,3:50,37,43,1.67
160,Running,2019-04-30 17:04:00,Baltimore Running,1.03,72.0,314,160,182,188,204,5:05,3:52,39,52,1.68
161,Running,2019-04-30 16:39:00,Baltimore Running,2.11,153.0,13,138,168,178,192,6:34,4:19,88,125,1.37
162,Running,2019-04-29 09:13:00,Baltimore Running,10.01,637.0,66,138,158,182,192,6:37,5:01,748,739,1.34
163,Running,2019-04-28 09:48:00,Baltimore Running,14.35,1002.0,94,156,194,180,194,6:35,4:48,781,779,1.35
164,Running,2019-04-27 10:37:00,Baltimore Running,10.0,764.0,67,148,165,176,188,6:45,1:55,573,571,1.35
165,Running,2019-04-25 11:22:00,Baltimore Running,4.02,311.0,29,138,176,176,192,7:13,5:57,227,234,1.26
166,Running,2019-04-25 10:48:00,Baltimore Running,2.13,139.0,15,125,152,176,186,7:24,6:14,100,94,1.23
167,Running,2019-04-24 06:35:00,Baltimore Running,12.01,752.0,81,138,174,176,188,6:45,5:26,764,764,1.35
168,Running,2019-04-23 17:41:00,Baltimore Running,0.96,93.0,578,128,158,166,192,10:03,7:51,82,38,0.96
169,Running,2019-04-23 17:27:00,Baltimore Running,0.73,69.0,284,164,184,172,232,6:32,3:25,20,19,1.43
170,Running,2019-04-23 16:54:00,Baltimore Running,5.06,415.0,27,173,193,182,198,5:25,4:08,178,196,1.63
171,Running,2019-04-23 16:28:00,Baltimore Running,2.07,143.0,13,134,161,180,188,6:35,4:41,89,125,1.37
172,Running,2019-04-22 16:41:00,Baltimore Running,4.03,304.0,27,140,149,178,188,6:52,5:27,196,189,1.31
173,Running,2019-04-22 09:11:00,Baltimore Running,10.09,638.0,67,138,160,180,192,6:40,5:48,535,544,1.34
174,Running,2019-04-21 10:24:00,Cherry Hill Running,8.01,590.0,52,145,162,178,190,6:36,5:41,179,183,1.37
175,Running,2019-04-20 20:10:00,Running,0.93,0.0,4,0,0,0,0,4:28,0,0,0,0.0
176,Running,2019-04-20 11:51:00,Chester Running,4.68,430.0,33,158,179,176,192,7:05,5:02,187,208,1.29
177,Running,2019-04-20 10:42:00,Chester Running,2.47,251.0,17,163,184,178,190,7:08,3:51,114,98,1.27
178,Running,2019-04-19 11:55:00,Baltimore Running,7.02,503.0,50,137,159,176,198,7:12,4:01,352,344,1.27
179,Running,2019-04-18 17:07:00,Baltimore Running,4.13,383.0,31,148,158,176,186,7:33,5:46,195,157,1.2
180,Running,2019-04-18 16:50:00,Baltimore Running,1.84,165.0,12,152,175,178,216,6:43,3:34,65,71,1.35
181,Running,2019-04-18 16:28:00,Baltimore Running,2.1,162.0,14,138,153,178,186,6:55,4:55,93,129,1.31
182,Running,2019-04-17 15:47:00,Running,9.0,0.0,62,0,0,0,0,6:53,0,0,0,0.0
